SentrixBarcode_A	SentrixPosition_A	Sample_Group	hd_id	gw_id
5434078031	R04C01	HG01254	5434078031_R04C01.txt	gw6.HG01254
5434078063	R01C01	NA19448	5434078063_R01C01.txt	gw6.NA19448
5443767007	R04C01	HG00262	5443767007_R04C01.txt	gw6.HG00262
5460452060	R04C01	NA12872	5460452060_R04C01.txt	gw6.NA12872
5443767136	R04C01	HG01375	5443767136_R04C01.txt	gw6.HG01375
5460461103	R02C01	HG00361	5460461103_R02C01.txt	gw6.HG00361
5460461105	R03C01	HG00407	5460461105_R03C01.txt	gw6.HG00407
5460479125	R01C01	NA07051	5460479125_R01C01.txt	gw6.NA07051
5460461111	R03C01	HG00384	5460461111_R03C01.txt	gw6.HG00384
5460444038	R02C01	NA12814	5460444038_R02C01.txt	gw6.NA12814
5460461100	R04C01	NA19728	5460461100_R04C01.txt	gw6.NA19728
5767770139	R04C01	NA20846	5767770139_R04C01.txt	gw6.NA20846
5460461026	R01C01	HG00115	5460461026_R01C01.txt	gw6.HG00115
6298021035	R03C01	HG01046	6298021035_R03C01.txt	gw6.HG01046
5460461128	R03C01	NA19056	5460461128_R03C01.txt	gw6.NA19056
5767796052	R02C01	HG01991	5767796052_R02C01.txt	gw6.HG01991
5443767154	R03C01	NA18605	5443767154_R03C01.txt	gw6.NA18605
5460479100	R01C01	HG01080	5460479100_R01C01.txt	gw6.HG01080
6268201018	R04C01	HG02144	6268201018_R04C01.txt	gw6.HG02144
5443767069	R02C01	NA20532	5443767069_R02C01.txt	gw6.NA20532
5434078014	R02C01	NA19141	5434078014_R02C01.txt	gw6.NA19141
5426529067	R02C01	HG01108	5426529067_R02C01.txt	gw6.HG01108
5473229014	R01C01	NA19725	5473229014_R01C01.txt	gw6.NA19725
5434078116	R02C01	NA19782	5434078116_R02C01.txt	gw6.NA19782
6298021065	R02C01	HG01817	6298021065_R02C01.txt	gw6.HG01817
5826291077	R04C01	HG02075	5826291077_R04C01.txt	gw6.HG02075
5434078036	R03C01	NA19160	5434078036_R03C01.txt	gw6.NA19160
5460461068	R01C01	NA19917	5460461068_R01C01.txt	gw6.NA19917
6317383037	R02C01	HG02239	6317383037_R02C01.txt	gw6.HG02239
6298012024	R02C01	HG02497	6298012024_R02C01.txt	gw6.HG02497
5426529026	R02C01	NA19756	5426529026_R02C01.txt	gw6.NA19756
5460461047	R03C01	NA20796	5460461047_R03C01.txt	gw6.NA20796
6298021095	R02C01	HG01958	6298021095_R02C01.txt	gw6.HG01958
5460444037	R04C01	NA19707	5460444037_R04C01.txt	gw6.NA19707
6268201027	R01C01	HG02223	6268201027_R01C01.txt	gw6.HG02223
5460479014	R01C01	NA19649	5460479014_R01C01.txt	gw6.NA19649
5426529060	R01C01	NA19789	5426529060_R01C01.txt	gw6.NA19789
5473245003	R02C01	NA18973	5473245003_R02C01.txt	gw6.NA18973
5434203034	R04C01	HG01345	5434203034_R04C01.txt	gw6.HG01345
5434203129	R04C01	HG00556	5434203129_R04C01.txt	gw6.HG00556
5767796019	R01C01	HG01980	5767796019_R01C01.txt	gw6.HG01980
5434078024	R04C01	HG00375	5434078024_R04C01.txt	gw6.HG00375
5434246024	R04C01	NA19004	5434246024_R04C01.txt	gw6.NA19004
5434203051	R01C01	HG00188	5434203051_R01C01.txt	gw6.HG00188
5767788028	R02C01	NA20845	5767788028_R02C01.txt	gw6.NA20845
6288236025	R01C01	HG02470	6288236025_R01C01.txt	gw6.HG02470
6288236074	R02C01	HG02107	6288236074_R02C01.txt	gw6.HG02107
5434246024	R01C01	NA18964	5434246024_R01C01.txt	gw6.NA18964
5443767151	R04C01	NA12286	5443767151_R04C01.txt	gw6.NA12286
5460461154	R01C01	HG00560	5460461154_R01C01.txt	gw6.HG00560
5434246104	R01C01	NA18748	5434246104_R01C01.txt	gw6.NA18748
5434246034	R01C01	NA20805	5434246034_R01C01.txt	gw6.NA20805
5767788037	R03C01	HG01935	5767788037_R03C01.txt	gw6.HG01935
5460461105	R04C01	HG00463	5460461105_R04C01.txt	gw6.HG00463
5443767133	R01C01	NA18608	5443767133_R01C01.txt	gw6.NA18608
5426529071	R01C01	NA19116	5426529071_R01C01.txt	gw6.NA19116
5426529105	R03C01	NA18630	5426529105_R03C01.txt	gw6.NA18630
5521374032	R01C01	NA20787	5521374032_R01C01.txt	gw6.NA20787
5885434003	R03C01	HG01680	5885434003_R03C01.txt	gw6.HG01680
5434203102	R01C01	HG00323	5434203102_R01C01.txt	gw6.HG00323
5460444067	R03C01	NA20783	5460444067_R03C01.txt	gw6.NA20783
5443767013	R01C01	NA12815	5443767013_R01C01.txt	gw6.NA12815
5434246052	R01C01	NA18520	5434246052_R01C01.txt	gw6.NA18520
6268201031	R02C01	HG02513	6268201031_R02C01.txt	gw6.HG02513
5434078098	R04C01	HG01182	5434078098_R04C01.txt	gw6.HG01182
5434203075	R01C01	HG00704	5434203075_R01C01.txt	gw6.HG00704
5767796021	R01C01	HG01886	5767796021_R01C01.txt	gw6.HG01886
5426529001	R04C01	NA20761	5426529001_R04C01.txt	gw6.NA20761
5443767018	R03C01	NA19746	5443767018_R03C01.txt	gw6.NA19746
6288236025	R03C01	HG02146	6288236025_R03C01.txt	gw6.HG02146
5443767034	R02C01	HG00611	5443767034_R02C01.txt	gw6.HG00611
5521374033	R01C01	HG01257	5521374033_R01C01.txt	gw6.HG01257
5434078002	R02C01	NA19020	5434078002_R02C01.txt	gw6.NA19020
5460461007	R03C01	HG01341	5460461007_R03C01.txt	gw6.HG01341
6298012063	R02C01	NA21093	6298012063_R02C01.txt	gw6.NA21093
6268201043	R02C01	HG02380	6268201043_R02C01.txt	gw6.HG02380
5434203074	R02C01	HG00650	5434203074_R02C01.txt	gw6.HG00650
5528550055	R01C01	NA19451	5528550055_R01C01.txt	gw6.NA19451
5426529008	R01C01	NA18572	5426529008_R01C01.txt	gw6.NA18572
5443767020	R03C01	HG00235	5443767020_R03C01.txt	gw6.HG00235
